Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2,Pressure PRED (bar),OriginalIndex,Fold,Replicate
h2,1333-74-0,benzene,71-43-2,0.0047,30,0.9953,16.84,[HH],C1=CC=CC=C1,10.870846,66,3,1
n2,7727-37-9,ethyl acetate,141-78-6,0.0153,30,0.9847,26.427,N#N,CCOC(=O)C,24.421326,429,3,1
n2,7727-37-9,dimethyl ether,115-10-6,0.0667,25,0.9333,61.9,N#N,COC,64.03205,386,3,1
h2,1333-74-0,DMF,68-12-2,0.0067,25,0.9933,45.6,[HH],CN(C)C=O,46.605766,140,3,1
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.0407,50,0.9593,130.0,[HH],CC(=C)C1=CC=CC=C1,112.58424,63,3,1
h2,1333-74-0,1-2-dimethoxyethane,110-71-4,0.0162,25,0.9838,45.82,[HH],COCCOC,38.30295,1,3,1
methane,74-82-8,ethanol,64-17-5,0.027,40,0.973,23.9,C,CCO,32.431953,285,3,1
n2,7727-37-9,n-heptane,142-82-5,0.0817,40,0.9183,68.5,N#N,CCCCCCC,76.578735,453,1,2
h2,1333-74-0,toluene,108-88-3,0.0108,30,0.9892,32.71,[HH],CC1=CC=CC=C1,28.177507,228,1,2
methane,74-82-8,n-butanol,71-36-3,0.035,50,0.965,20.7,C,CCCCO,27.367062,299,1,2
n2,7727-37-9,dimethyl ether,115-10-6,0.1116,45,0.8884,92.8,N#N,COC,113.030525,410,1,2
n2,7727-37-9,ethanol,64-17-5,0.001,25,0.999,3.028,N#N,CCO,4.860035,415,1,2
h2,1333-74-0,n-propionaldehyde,123-38-6,0.057,20,0.943,75.0,[HH],CCC=O,122.94685,190,1,2
h2,1333-74-0,propanol,71-23-8,0.0054,18,0.9946,22.5,[HH],CCCO,10.570763,206,1,2
h2,1333-74-0,toluene,108-88-3,0.0055,30,0.9945,16.85,[HH],CC1=CC=CC=C1,15.84671,224,1,2
n2,7727-37-9,ethyl formate,109-94-4,0.0021,31,0.9979,4.0457,N#N,CCOC=O,6.9417076,431,1,2
h2,1333-74-0,alpha-methylstyrene,98-83-9,0.022,50,0.978,70.10000000000001,[HH],CC(=C)C1=CC=CC=C1,81.66328,61,1,2
